Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4",0603,3,1uF,C29936
C3,0603,1,100nF,C14663
"C5, C6",0603,2,0.1uF,C14663
C7,0603,1,10uF,C96446
"D1, D2",0603,2,LED,C19171390
OLED1,OLED-TH_L38.0-W12.0_HS91L02W2C01,1,HS91L02W2C01,C5248081
"R10, R11",0603,2,5.1k,C2907044
"R3, R4, R5, R6, R7, R8, R9",0603,7,10k,C2906982
SIM1,SIM-SMD_8P-1040310811,1,1040310811,C585350
"SW1, SW2",KEY-SMD_L4.0-W3.0-LS4.9-1,2,SW_Push,C49234124
"SW3, SW4, SW5",SW-SMD_SH-6X6X4.5H-TP,3,SW_Push,C42416254
U1,SOT-23-5,1,AP2112K-3.3,C51118
U2,ESP32-WROOM-32E,1,ESP32-WROOM-32E,C701341
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
USB1,USB-C-SMD_TYPE-C-16PIN-2MD-073,1,TYPE-C 16PIN 2MD,C2765186
