Designator,Mid X,Mid Y,Rotation,Layer
C1,131.5,-107.225,90.0,top
C2,118.0,-107.225,270.0,top
C3,122.0,-107.225,90.0,top
C4,133.0,-131.025,90.0,top
C5,122.0,-112.475,270.0,top
C6,126.5,-112.475,90.0,top
C7,126.5,-107.25,90.0,top
D1,130.0,-142.75,90.0,top
D2,130.0,-146.75,90.0,top
OLED1,104.25,-95.75,0.0,top
R10,138.575,-141.4,180.0,top
R11,132.975,-141.2,180.0,top
R3,130.5,-134.825,90.0,top
R4,130.5,-131.075,90.0,top
R5,130.75,-138.425,90.0,top
R6,133.0,-138.425,90.0,top
R7,134.575,-128.25,180.0,top
R8,123.425,-128.25,0.0,top
R9,118.5,-128.25,0.0,top
SIM1,108.41,-108.2,270.0,top
SW1,139.5,-113.66,90.0,top
SW2,139.5,-106.91,90.0,top
SW3,133.25,-122.4,90.0,top
SW4,123.75,-122.25,90.0,top
SW5,113.75,-122.25,90.0,top
U1,139.3625,-123.45,180.0,top
U2,115.02,-139.0,90.0,top
U3,137.475,-135.345,270.0,top
USB1,136.36,-145.05,0.0,top
